"","Concept","ID","Question","ChoiceNumber"
"1","Barack Obama","0","Abraham Lincoln Donald Trump",0
"2","Barack Obama","0","Abraham Lincoln George W. Bush",0
"3","Barack Obama","0","Abraham Lincoln Hillary Clinton",0
"4","Barack Obama","0","Abraham Lincoln Joe Biden",1
"5","Barack Obama","0","Abraham Lincoln Richard Nixon",0
"6","Barack Obama","0","Abraham Lincoln Ronald Reagan",0
"7","Barack Obama","0","Bernie Sanders Abraham Lincoln",0
"8","Barack Obama","0","Bernie Sanders Donald Trump",0
"9","Barack Obama","0","Bernie Sanders Elizabeth Warren",0
"10","Barack Obama","0","Bernie Sanders George W. Bush",0
"11","Barack Obama","0","Bernie Sanders Hillary Clinton",1
"12","Barack Obama","0","Bernie Sanders Joe Biden",1
"13","Barack Obama","0","Bernie Sanders Richard Nixon",0
"14","Barack Obama","0","Bernie Sanders Ronald Reagan",0
"15","Barack Obama","0","Donald Trump Abraham Lincoln",1
"16","Barack Obama","0","Donald Trump Bernie Sanders",1
"17","Barack Obama","0","Donald Trump Elizabeth Warren",1
"18","Barack Obama","0","Donald Trump George W. Bush",0
"19","Barack Obama","0","Donald Trump Hillary Clinton",1
"20","Barack Obama","0","Donald Trump Joe Biden",1
"21","Barack Obama","0","Donald Trump Richard Nixon",1
"22","Barack Obama","0","Donald Trump Ronald Reagan",0
"23","Barack Obama","0","Elizabeth Warren Abraham Lincoln",0
"24","Barack Obama","0","Elizabeth Warren Bernie Sanders",0
"25","Barack Obama","0","Elizabeth Warren Donald Trump",0
"26","Barack Obama","0","Elizabeth Warren George W. Bush",0
"27","Barack Obama","0","Elizabeth Warren Hillary Clinton",0
"28","Barack Obama","0","Elizabeth Warren Joe Biden",1
"29","Barack Obama","0","Elizabeth Warren Richard Nixon",0
"30","Barack Obama","0","Elizabeth Warren Ronald Reagan",0
"31","Barack Obama","0","George W. Bush Abraham Lincoln",1
"32","Barack Obama","0","George W. Bush Bernie Sanders",1
"33","Barack Obama","0","George W. Bush Donald Trump",1
"34","Barack Obama","0","George W. Bush Elizabeth Warren",1
"35","Barack Obama","0","George W. Bush Hillary Clinton",1
"36","Barack Obama","0","George W. Bush Joe Biden",1
"37","Barack Obama","0","George W. Bush Richard Nixon",1
"38","Barack Obama","0","George W. Bush Ronald Reagan",0
"39","Barack Obama","0","Hillary Clinton Abraham Lincoln",1
"40","Barack Obama","0","Hillary Clinton Bernie Sanders",0
"41","Barack Obama","0","Hillary Clinton Donald Trump",0
"42","Barack Obama","0","Hillary Clinton Elizabeth Warren",0
"43","Barack Obama","0","Hillary Clinton George W. Bush",0
"44","Barack Obama","0","Hillary Clinton Joe Biden",1
"45","Barack Obama","0","Hillary Clinton Richard Nixon",0
"46","Barack Obama","0","Hillary Clinton Ronald Reagan",0
"47","Barack Obama","0","Joe Biden Abraham Lincoln",0
"48","Barack Obama","0","Joe Biden Bernie Sanders",0
"49","Barack Obama","0","Joe Biden Donald Trump",0
"50","Barack Obama","0","Joe Biden Elizabeth Warren",0
"51","Barack Obama","0","Joe Biden George W. Bush",0
"52","Barack Obama","0","Joe Biden Hillary Clinton",0
"53","Barack Obama","0","Joe Biden Richard Nixon",0
"54","Barack Obama","0","Joe Biden Ronald Reagan",0
"55","Barack Obama","0","Richard Nixon Abraham Lincoln",1
"56","Barack Obama","0","Richard Nixon Bernie Sanders",1
"57","Barack Obama","0","Richard Nixon Donald Trump",1
"58","Barack Obama","0","Richard Nixon Elizabeth Warren",1
"59","Barack Obama","0","Richard Nixon George W. Bush",1
"60","Barack Obama","0","Richard Nixon Hillary Clinton",1
"61","Barack Obama","0","Richard Nixon Joe Biden",1
"62","Barack Obama","0","Richard Nixon Ronald Reagan",1
"63","Barack Obama","0","Ronald Reagan Abraham Lincoln",1
"64","Barack Obama","0","Ronald Reagan Bernie Sanders",1
"65","Barack Obama","0","Ronald Reagan Donald Trump",0
"66","Barack Obama","0","Ronald Reagan Elizabeth Warren",1
"67","Barack Obama","0","Ronald Reagan George W. Bush",0
"68","Barack Obama","0","Ronald Reagan Hillary Clinton",1
"69","Barack Obama","0","Ronald Reagan Joe Biden",1
"70","Barack Obama","0","Ronald Reagan Richard Nixon",0
"71","Bernie Sanders","0","Abraham Lincoln Barack Obama",1
"72","Bernie Sanders","0","Abraham Lincoln Donald Trump",0
"73","Bernie Sanders","0","Abraham Lincoln Elizabeth Warren",1
"74","Bernie Sanders","0","Abraham Lincoln George W. Bush",0
"75","Bernie Sanders","0","Abraham Lincoln Hillary Clinton",1
"76","Bernie Sanders","0","Abraham Lincoln Joe Biden",0
"77","Bernie Sanders","0","Abraham Lincoln Richard Nixon",0
"78","Bernie Sanders","0","Abraham Lincoln Ronald Reagan",0
"79","Bernie Sanders","0","Barack Obama Abraham Lincoln",0
"80","Bernie Sanders","0","Barack Obama Donald Trump",0
"81","Bernie Sanders","0","Barack Obama Elizabeth Warren",1
"82","Bernie Sanders","0","Barack Obama George W. Bush",0
"83","Bernie Sanders","0","Barack Obama Hillary Clinton",0
"84","Bernie Sanders","0","Barack Obama Joe Biden",0
"85","Bernie Sanders","0","Barack Obama Richard Nixon",0
"86","Bernie Sanders","0","Barack Obama Ronald Reagan",0
"87","Bernie Sanders","0","Donald Trump Abraham Lincoln",1
"88","Bernie Sanders","0","Donald Trump Barack Obama",1
"89","Bernie Sanders","0","Donald Trump Elizabeth Warren",1
"90","Bernie Sanders","0","Donald Trump George W. Bush",0
"91","Bernie Sanders","0","Donald Trump Hillary Clinton",1
"92","Bernie Sanders","0","Donald Trump Joe Biden",1
"93","Bernie Sanders","0","Donald Trump Richard Nixon",0
"94","Bernie Sanders","0","Donald Trump Ronald Reagan",1
"95","Bernie Sanders","0","Elizabeth Warren Abraham Lincoln",0
"96","Bernie Sanders","0","Elizabeth Warren Barack Obama",0
"97","Bernie Sanders","0","Elizabeth Warren Donald Trump",0
"98","Bernie Sanders","0","Elizabeth Warren George W. Bush",0
"99","Bernie Sanders","0","Elizabeth Warren Hillary Clinton",0
"100","Bernie Sanders","0","Elizabeth Warren Joe Biden",0
"101","Bernie Sanders","0","Elizabeth Warren Richard Nixon",0
"102","Bernie Sanders","0","Elizabeth Warren Ronald Reagan",0
"103","Bernie Sanders","0","George W. Bush Abraham Lincoln",1
"104","Bernie Sanders","0","George W. Bush Barack Obama",1
"105","Bernie Sanders","0","George W. Bush Donald Trump",1
"106","Bernie Sanders","0","George W. Bush Elizabeth Warren",1
"107","Bernie Sanders","0","George W. Bush Hillary Clinton",1
"108","Bernie Sanders","0","George W. Bush Joe Biden",1
"109","Bernie Sanders","0","George W. Bush Richard Nixon",1
"110","Bernie Sanders","0","George W. Bush Ronald Reagan",1
"111","Bernie Sanders","0","Hillary Clinton Abraham Lincoln",1
"112","Bernie Sanders","0","Hillary Clinton Barack Obama",1
"113","Bernie Sanders","0","Hillary Clinton Donald Trump",1
"114","Bernie Sanders","0","Hillary Clinton Elizabeth Warren",1
"115","Bernie Sanders","0","Hillary Clinton George W. Bush",0
"116","Bernie Sanders","0","Hillary Clinton Joe Biden",1
"117","Bernie Sanders","0","Hillary Clinton Richard Nixon",0
"118","Bernie Sanders","0","Hillary Clinton Ronald Reagan",0
"119","Bernie Sanders","0","Joe Biden Abraham Lincoln",0
"120","Bernie Sanders","0","Joe Biden Barack Obama",1
"121","Bernie Sanders","0","Joe Biden Donald Trump",0
"122","Bernie Sanders","0","Joe Biden Elizabeth Warren",1
"123","Bernie Sanders","0","Joe Biden George W. Bush",0
"124","Bernie Sanders","0","Joe Biden Hillary Clinton",0
"125","Bernie Sanders","0","Joe Biden Richard Nixon",0
"126","Bernie Sanders","0","Joe Biden Ronald Reagan",0
"127","Bernie Sanders","0","Richard Nixon Abraham Lincoln",1
"128","Bernie Sanders","0","Richard Nixon Barack Obama",1
"129","Bernie Sanders","0","Richard Nixon Donald Trump",1
"130","Bernie Sanders","0","Richard Nixon Elizabeth Warren",1
"131","Bernie Sanders","0","Richard Nixon George W. Bush",0
"132","Bernie Sanders","0","Richard Nixon Hillary Clinton",1
"133","Bernie Sanders","0","Richard Nixon Joe Biden",1
"134","Bernie Sanders","0","Richard Nixon Ronald Reagan",0
"135","Bernie Sanders","0","Ronald Reagan Abraham Lincoln",1
"136","Bernie Sanders","0","Ronald Reagan Barack Obama",1
"137","Bernie Sanders","0","Ronald Reagan Donald Trump",1
"138","Bernie Sanders","0","Ronald Reagan Elizabeth Warren",1
"139","Bernie Sanders","0","Ronald Reagan George W. Bush",0
"140","Bernie Sanders","0","Ronald Reagan Hillary Clinton",1
"141","Bernie Sanders","0","Ronald Reagan Joe Biden",1
"142","Bernie Sanders","0","Ronald Reagan Richard Nixon",1
"143","Barack Obama","1","Abraham Lincoln Bernie Sanders",0
"144","Barack Obama","1","Abraham Lincoln Donald Trump",0
"145","Barack Obama","1","Abraham Lincoln Elizabeth Warren",0
"146","Barack Obama","1","Abraham Lincoln George W. Bush",0
"147","Barack Obama","1","Abraham Lincoln Hillary Clinton",0
"148","Barack Obama","1","Abraham Lincoln Joe Biden",0
"149","Barack Obama","1","Abraham Lincoln Richard Nixon",0
"150","Barack Obama","1","Abraham Lincoln Ronald Reagan",0
"151","Barack Obama","1","Bernie Sanders Abraham Lincoln",0
"152","Barack Obama","1","Bernie Sanders Donald Trump",0
"153","Barack Obama","1","Bernie Sanders Elizabeth Warren",0
"154","Barack Obama","1","Bernie Sanders George W. Bush",0
"155","Barack Obama","1","Bernie Sanders Hillary Clinton",1
"156","Barack Obama","1","Bernie Sanders Joe Biden",1
"157","Barack Obama","1","Bernie Sanders Richard Nixon",0
"158","Barack Obama","1","Bernie Sanders Ronald Reagan",0
"159","Barack Obama","1","Donald Trump Abraham Lincoln",1
"160","Barack Obama","1","Donald Trump Bernie Sanders",1
"161","Barack Obama","1","Donald Trump Elizabeth Warren",1
"162","Barack Obama","1","Donald Trump George W. Bush",0
"163","Barack Obama","1","Donald Trump Hillary Clinton",1
"164","Barack Obama","1","Donald Trump Joe Biden",1
"165","Barack Obama","1","Donald Trump Richard Nixon",1
"166","Barack Obama","1","Donald Trump Ronald Reagan",0
"167","Barack Obama","1","Elizabeth Warren Abraham Lincoln",1
"168","Barack Obama","1","Elizabeth Warren Bernie Sanders",0
"169","Barack Obama","1","Elizabeth Warren Donald Trump",0
"170","Barack Obama","1","Elizabeth Warren George W. Bush",0
"171","Barack Obama","1","Elizabeth Warren Hillary Clinton",1
"172","Barack Obama","1","Elizabeth Warren Joe Biden",1
"173","Barack Obama","1","Elizabeth Warren Richard Nixon",0
"174","Barack Obama","1","Elizabeth Warren Ronald Reagan",0
"175","Barack Obama","1","George W. Bush Abraham Lincoln",1
"176","Barack Obama","1","George W. Bush Bernie Sanders",1
"177","Barack Obama","1","George W. Bush Donald Trump",1
"178","Barack Obama","1","George W. Bush Elizabeth Warren",1
"179","Barack Obama","1","George W. Bush Hillary Clinton",1
"180","Barack Obama","1","George W. Bush Joe Biden",1
"181","Barack Obama","1","George W. Bush Richard Nixon",0
"182","Barack Obama","1","George W. Bush Ronald Reagan",0
"183","Barack Obama","1","Hillary Clinton Abraham Lincoln",1
"184","Barack Obama","1","Hillary Clinton Bernie Sanders",0
"185","Barack Obama","1","Hillary Clinton Donald Trump",0
"186","Barack Obama","1","Hillary Clinton Elizabeth Warren",0
"187","Barack Obama","1","Hillary Clinton George W. Bush",0
"188","Barack Obama","1","Hillary Clinton Joe Biden",1
"189","Barack Obama","1","Hillary Clinton Richard Nixon",0
"190","Barack Obama","1","Hillary Clinton Ronald Reagan",0
"191","Barack Obama","1","Joe Biden Abraham Lincoln",1
"192","Barack Obama","1","Joe Biden Bernie Sanders",0
"193","Barack Obama","1","Joe Biden Donald Trump",0
"194","Barack Obama","1","Joe Biden Elizabeth Warren",0
"195","Barack Obama","1","Joe Biden George W. Bush",0
"196","Barack Obama","1","Joe Biden Hillary Clinton",0
"197","Barack Obama","1","Joe Biden Richard Nixon",0
"198","Barack Obama","1","Joe Biden Ronald Reagan",0
"199","Barack Obama","1","Richard Nixon Abraham Lincoln",1
"200","Barack Obama","1","Richard Nixon Bernie Sanders",1
"201","Barack Obama","1","Richard Nixon Donald Trump",1
"202","Barack Obama","1","Richard Nixon Elizabeth Warren",1
"203","Barack Obama","1","Richard Nixon George W. Bush",0
"204","Barack Obama","1","Richard Nixon Hillary Clinton",1
"205","Barack Obama","1","Richard Nixon Joe Biden",1
"206","Barack Obama","1","Richard Nixon Ronald Reagan",1
"207","Barack Obama","1","Ronald Reagan Abraham Lincoln",1
"208","Barack Obama","1","Ronald Reagan Bernie Sanders",1
"209","Barack Obama","1","Ronald Reagan Donald Trump",0
"210","Barack Obama","1","Ronald Reagan Elizabeth Warren",1
"211","Barack Obama","1","Ronald Reagan George W. Bush",0
"212","Barack Obama","1","Ronald Reagan Hillary Clinton",1
"213","Barack Obama","1","Ronald Reagan Joe Biden",1
"214","Barack Obama","1","Ronald Reagan Richard Nixon",0
"215","Bernie Sanders","1","Abraham Lincoln Barack Obama",1
"216","Bernie Sanders","1","Abraham Lincoln Donald Trump",0
