Concept,ID,Question,ChoiceNumber
a salmon,0,a finch a robin,0
a salmon,0,a robin an eagle,0
a salmon,0,a chicken a penguin,0
a salmon,0,an eagle a seal,0
a salmon,0,an eagle a dolphin,0
a salmon,0,an ostrich a penguin,0
a salmon,0,an ostrich a seal,1
a salmon,0,a penguin a whale,0
an eagle,1,a finch a chicken,0
an eagle,1,a finch a salmon,0
an eagle,1,a finch a dolphin,0
an eagle,1,a robin an ostrich,0
an eagle,1,a robin a salmon,0
an eagle,1,a chicken a penguin,0
an eagle,1,a chicken a salmon,0
an eagle,1,a chicken a dolphin,0
an eagle,1,an ostrich a seal,0
an eagle,1,a salmon a whale,0
an eagle,1,a seal a dolphin,0
an eagle,1,a seal a whale,0
a seal,2,a finch a robin,0
a seal,2,a finch a chicken,0
a seal,2,a finch an eagle,0
a seal,2,a finch an ostrich,0
a seal,2,a finch a penguin,0
a seal,2,a finch a dolphin,0
a seal,2,a robin an ostrich,0
a seal,2,a robin a penguin,0
a seal,2,a chicken a penguin,0
a seal,2,a chicken a salmon,0
a seal,2,an eagle a dolphin,0
a seal,2,an ostrich a penguin,0
a seal,2,an ostrich a salmon,0
a seal,2,a penguin a whale,0
a seal,2,a salmon a whale,0
an ostrich,3,a finch an eagle,0
an ostrich,3,a finch a whale,0
an ostrich,3,a robin a chicken,0
an ostrich,3,a robin a salmon,0
an ostrich,3,a chicken a penguin,0
an ostrich,3,a chicken a dolphin,0
an ostrich,3,an eagle a salmon,1
an ostrich,3,an eagle a whale,0
an ostrich,3,a penguin a seal,0
an ostrich,3,a penguin a dolphin,0
an ostrich,3,a salmon a dolphin,0
an ostrich,3,a salmon a whale,1
a salmon,4,a finch an eagle,0
a salmon,4,a finch an ostrich,0
a salmon,4,a finch a penguin,0
a salmon,4,a finch a seal,0
a salmon,4,a robin a penguin,0
a salmon,4,a robin a seal,0
a salmon,4,a robin a whale,0
a salmon,4,a chicken an eagle,0
a salmon,4,an eagle a penguin,0
a salmon,4,an eagle a seal,0
a salmon,4,an eagle a dolphin,1
a salmon,4,an ostrich a penguin,0
a salmon,4,a penguin a whale,0
a salmon,4,a seal a dolphin,0
a salmon,4,a seal a whale,0
a salmon,4,a dolphin a whale,0
