Concept,ID,Question,ChoiceNumber
a salmon,0,a finch an ostrich,0
a salmon,0,a finch a seal,0
a salmon,0,a finch a dolphin,0
a salmon,0,a robin a chicken,0
a salmon,0,a robin an ostrich,1
a salmon,0,a robin a seal,0
a salmon,0,a robin a whale,0
a salmon,0,a chicken an eagle,0
a salmon,0,a chicken an ostrich,0
a salmon,0,a chicken a penguin,0
a salmon,0,a chicken a seal,0
a salmon,0,an eagle an ostrich,0
a salmon,0,an eagle a seal,0
a salmon,0,an ostrich a penguin,0
a salmon,0,an ostrich a seal,0
a salmon,0,an ostrich a dolphin,1
a salmon,0,a penguin a whale,0
a salmon,0,a seal a dolphin,0
a salmon,0,a seal a whale,0
a salmon,0,a dolphin a whale,0
an eagle,1,a finch a robin,0
an eagle,1,a finch an ostrich,0
an eagle,1,a finch a penguin,0
an eagle,1,a finch a salmon,0
an eagle,1,a finch a seal,0
an eagle,1,a finch a whale,1
an eagle,1,a robin a chicken,0
an eagle,1,a robin a salmon,1
an eagle,1,a robin a dolphin,0
an eagle,1,a robin a whale,0
an eagle,1,a chicken a penguin,0
an eagle,1,a chicken a salmon,0
an eagle,1,an ostrich a penguin,0
an eagle,1,an ostrich a whale,0
an eagle,1,a penguin a salmon,0
an eagle,1,a penguin a whale,0
an eagle,1,a salmon a dolphin,0
an eagle,1,a salmon a whale,0
an eagle,1,a seal a dolphin,0
an eagle,1,a dolphin a whale,0
a seal,2,a finch an eagle,0
a seal,2,a finch an ostrich,0
a seal,2,a finch a dolphin,0
a seal,2,a robin a chicken,0
a seal,2,a robin an eagle,0
a seal,2,a robin a dolphin,0
a seal,2,a robin a whale,0
a seal,2,a chicken an eagle,0
a seal,2,a chicken an ostrich,0
a seal,2,a chicken a whale,0
a seal,2,an eagle a whale,0
a seal,2,an ostrich a salmon,0
a seal,2,a penguin a whale,0
a seal,2,a salmon a dolphin,0
a seal,2,a salmon a whale,0
a seal,2,a dolphin a whale,0
an ostrich,3,a finch a robin,0
an ostrich,3,a finch a chicken,1
an ostrich,3,a finch an eagle,0
an ostrich,3,a finch a penguin,0
an ostrich,3,a finch a seal,0
an ostrich,3,a finch a dolphin,0
an ostrich,3,a finch a whale,0
an ostrich,3,a robin an eagle,0
an ostrich,3,a robin a penguin,1
an ostrich,3,a robin a seal,0
an ostrich,3,a robin a dolphin,1
an ostrich,3,a robin a whale,0
an ostrich,3,a chicken an eagle,0
an ostrich,3,a chicken a penguin,0
an ostrich,3,a chicken a salmon,0
an ostrich,3,an eagle a seal,0
an ostrich,3,an eagle a dolphin,0
an ostrich,3,a penguin a whale,0
an ostrich,3,a salmon a dolphin,0
an ostrich,3,a seal a dolphin,0
an ostrich,3,a seal a whale,0
a salmon,4,a finch a robin,1
a salmon,4,a finch an eagle,0
a salmon,4,a finch a penguin,0
a salmon,4,a finch a seal,0
a salmon,4,a finch a whale,0
a salmon,4,a robin an ostrich,0
a salmon,4,a robin a dolphin,0
a salmon,4,a robin a whale,0
a salmon,4,a chicken an eagle,0
a salmon,4,a chicken a dolphin,0
a salmon,4,a chicken a whale,0
a salmon,4,an eagle an ostrich,0
a salmon,4,an eagle a seal,0
a salmon,4,an eagle a whale,0
a salmon,4,an ostrich a whale,0
a salmon,4,a penguin a whale,0
a salmon,4,a seal a dolphin,0
a salmon,4,a dolphin a whale,0
a whale,5,a finch an eagle,0
a whale,5,a finch an ostrich,0
a whale,5,a finch a salmon,0
a whale,5,a finch a seal,0
a whale,5,a robin a chicken,0
a whale,5,a robin an ostrich,1
a whale,5,a robin a penguin,0
a whale,5,a robin a salmon,0
a whale,5,a robin a seal,0
a whale,5,a robin a dolphin,0
a whale,5,a chicken an eagle,0
a whale,5,a chicken a salmon,0
a whale,5,a chicken a seal,1
a whale,5,a chicken a dolphin,0
a whale,5,an eagle a penguin,0
a whale,5,an eagle a salmon,0
a whale,5,an eagle a seal,0
a whale,5,an ostrich a penguin,0
a whale,5,a penguin a dolphin,0
a whale,5,a salmon a dolphin,0
a whale,5,a seal a dolphin,1
a chicken,6,a finch an ostrich,0
a chicken,6,a finch a salmon,0
a chicken,6,a robin an ostrich,0
a chicken,6,a robin a penguin,0
a chicken,6,a robin a salmon,0
a chicken,6,a robin a seal,0
a chicken,6,a robin a whale,0
a chicken,6,an eagle an ostrich,0
a chicken,6,an eagle a penguin,0
a chicken,6,an eagle a salmon,0
a chicken,6,an eagle a whale,0
a chicken,6,an ostrich a seal,1
a chicken,6,an ostrich a whale,0
a chicken,6,a penguin a seal,0
a chicken,6,a penguin a whale,0
a chicken,6,a salmon a seal,0
a chicken,6,a salmon a dolphin,0
a chicken,6,a seal a whale,0
a salmon,7,a finch a chicken,0
a salmon,7,a finch a seal,0
a salmon,7,a finch a whale,0
a salmon,7,a robin an ostrich,1
a salmon,7,a robin a penguin,0
a salmon,7,a robin a seal,0
a salmon,7,a chicken an ostrich,0
a salmon,7,a chicken a penguin,0
a salmon,7,a chicken a seal,0
a salmon,7,a chicken a dolphin,0
a salmon,7,an eagle an ostrich,0
a salmon,7,an eagle a seal,1
a salmon,7,an eagle a dolphin,0
a salmon,7,an ostrich a penguin,0
a salmon,7,an ostrich a dolphin,0
a salmon,7,an ostrich a whale,0
a salmon,7,a penguin a dolphin,0
a salmon,7,a dolphin a whale,0
a seal,8,a finch an ostrich,0
a seal,8,a robin a chicken,0
a seal,8,a robin an eagle,0
a seal,8,a robin a penguin,1
a seal,8,a robin a dolphin,0
a seal,8,a robin a whale,0
a seal,8,a chicken an ostrich,0
a seal,8,a chicken a penguin,0
a seal,8,a chicken a salmon,0
a seal,8,a chicken a dolphin,0
a seal,8,a chicken a whale,0
a seal,8,an eagle a salmon,0
a seal,8,an eagle a dolphin,0
a seal,8,an ostrich a penguin,0
a seal,8,an ostrich a salmon,0
a seal,8,an ostrich a whale,1
a seal,8,a penguin a salmon,0
a seal,8,a penguin a dolphin,0
a seal,8,a penguin a whale,0
a seal,8,a salmon a whale,0
an ostrich,9,a finch a robin,0
an ostrich,9,a finch a chicken,0
an ostrich,9,a finch an eagle,0
an ostrich,9,a finch a penguin,0
an ostrich,9,a finch a salmon,1
an ostrich,9,a finch a dolphin,0
an ostrich,9,a robin a chicken,0
an ostrich,9,a robin an eagle,0
an ostrich,9,a robin a salmon,0
an ostrich,9,a robin a seal,0
an ostrich,9,a robin a whale,0
an ostrich,9,a chicken a penguin,0
an ostrich,9,a chicken a salmon,0
an ostrich,9,a chicken a dolphin,1
an ostrich,9,a chicken a whale,0
an ostrich,9,an eagle a penguin,0
an ostrich,9,an eagle a salmon,0
an ostrich,9,an eagle a seal,0
