Concept,ID,Question,ChoiceNumber
Hillary Clinton,0,Barack Obama Elizabeth Warren,0
Hillary Clinton,0,Bernie Sanders Elizabeth Warren,0
Hillary Clinton,0,Donald Trump Joe Biden,0
Hillary Clinton,0,Elizabeth Warren Ronald Reagan,0
Hillary Clinton,0,George W. Bush Richard Nixon,1
Donald Trump,1,Barack Obama Joe Biden,0
Donald Trump,1,Bernie Sanders Elizabeth Warren,0
Donald Trump,1,Bernie Sanders George W. Bush,0
Donald Trump,1,Bernie Sanders Richard Nixon,0
Donald Trump,1,George W. Bush Hillary Clinton,0
Donald Trump,1,George W. Bush Richard Nixon,0
Donald Trump,1,George W. Bush Ronald Reagan,0
Donald Trump,1,Hillary Clinton Joe Biden,0
Donald Trump,1,Richard Nixon Ronald Reagan,0
Joe Biden,2,Abraham Lincoln Richard Nixon,0
Joe Biden,2,Barack Obama Richard Nixon,1
Elizabeth Warren,3,Abraham Lincoln Donald Trump,0
Elizabeth Warren,3,Abraham Lincoln George W. Bush,0
Elizabeth Warren,3,Barack Obama Richard Nixon,0
Elizabeth Warren,3,George W. Bush Hillary Clinton,0
Elizabeth Warren,3,George W. Bush Richard Nixon,0
Elizabeth Warren,3,Richard Nixon Ronald Reagan,0
Hillary Clinton,4,Bernie Sanders Joe Biden,0
Hillary Clinton,4,Bernie Sanders Ronald Reagan,0
Hillary Clinton,4,Elizabeth Warren George W. Bush,0
Ronald Reagan,5,Abraham Lincoln Donald Trump,0
Ronald Reagan,5,Abraham Lincoln Elizabeth Warren,0
Ronald Reagan,5,Abraham Lincoln George W. Bush,1
Ronald Reagan,5,Barack Obama Donald Trump,0
Ronald Reagan,5,Bernie Sanders Richard Nixon,0
Ronald Reagan,5,Elizabeth Warren Joe Biden,0
Ronald Reagan,5,Elizabeth Warren Richard Nixon,0
Bernie Sanders,6,Abraham Lincoln Elizabeth Warren,0
Bernie Sanders,6,Abraham Lincoln George W. Bush,0
Bernie Sanders,6,Barack Obama Donald Trump,0
Bernie Sanders,6,Barack Obama Joe Biden,1
Bernie Sanders,6,Barack Obama Ronald Reagan,0
Bernie Sanders,6,George W. Bush Richard Nixon,0
Bernie Sanders,6,Hillary Clinton Joe Biden,0
Bernie Sanders,6,Hillary Clinton Ronald Reagan,1
Hillary Clinton,7,Abraham Lincoln Barack Obama,0
